Order ID,Order Line ID,Order Date,Ship Date,Ship Mode,Order Priority,Customer ID,Customer Name,Customer Email,Gender,Birth Date,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,CA-2016-152156-1,11/8/2016,11/11/2016,Second Class,Medium,CG-12520,Claire Gute,claire.gute@hotmail.com,F,9/6/1997,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,CA-2016-152156-2,11/8/2016,11/11/2016,Second Class,Low,CG-12520,Claire Gute,claire.gute@hotmail.com,F,9/6/1997,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,CA-2016-138688-1,6/12/2016,6/16/2016,Second Class,Critical,DV-13045,Darrin Van Huff,darrin.huff@hotmail.com,M,6/1/1956,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,US-2015-108966-1,10/11/2015,10/18/2015,Standard Class,Low,SO-20335,Sean O'Donnell,sean.o'donnell@hotmail.com,M,1/20/1964,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,US-2015-108966-2,10/11/2015,10/18/2015,Standard Class,Low,SO-20335,Sean O'Donnell,sean.o'donnell@hotmail.com,M,1/20/1964,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,CA-2014-115812-1,6/9/2014,6/14/2014,Standard Class,Not Specified,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,CA-2014-115812-2,6/9/2014,6/14/2014,Standard Class,Medium,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2014-115812,CA-2014-115812-3,6/9/2014,6/14/2014,Standard Class,Critical,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,CA-2014-115812-4,6/9/2014,6/14/2014,Standard Class,Critical,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,CA-2014-115812-5,6/9/2014,6/14/2014,Standard Class,Critical,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,CA-2014-115812-6,6/9/2014,6/14/2014,Standard Class,High,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2014-115812,CA-2014-115812-7,6/9/2014,6/14/2014,Standard Class,Low,BH-11710,Brosina Hoffman,brosina.hoffman@hotmail.com,M,6/8/1959,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,CA-2017-114412-1,4/15/2017,4/20/2017,Standard Class,Not Specified,AA-10480,Andrew Allen,andrew.allen@hotmail.com,F,9/2/1997,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,CA-2016-161389-1,12/5/2016,12/10/2016,Standard Class,Low,IM-15070,Irene Maddox,irene.maddox@hotmail.com,M,4/2/1978,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,US-2015-118983-1,11/22/2015,11/26/2015,Standard Class,Critical,HP-14815,Harold Pawlan,harold.pawlan@hotmail.hom,M,1/28/1996,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,US-2015-118983-2,11/22/2015,11/26/2015,Standard Class,Medium,HP-14815,Harold Pawlan,harold.pawlan@hotmail.hom,M,1/28/1996,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,CA-2014-105893-1,11/11/2014,11/18/2014,Standard Class,Critical,PK-19075,Pete Kriz,pete.kriz@hotmail.com,M,2/19/1991,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,CA-2014-167164-1,5/13/2014,5/15/2014,Second Class,High,AG-10270,Alejandro Grove,alejandro.grove@hotmail.com,F,9/14/1956,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,CA-2014-143336-1,8/27/2014,9/1/2014,Second Class,Critical,ZD-21925,Zuschuss Donatelli,zuschuss.donatelli@hotmail.com,F,4/1/1979,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
CA-2014-143336,CA-2014-143336-2,8/27/2014,9/1/2014,Second Class,Medium,ZD-21925,Zuschuss Donatelli,zuschuss.donatelli@hotmail.com,F,4/1/1979,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,CA-2014-143336-3,8/27/2014,9/1/2014,Second Class,Critical,ZD-21925,Zuschuss Donatelli,zuschuss.donatelli@hotmail.com,F,4/1/1979,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,CA-2016-137330-1,12/9/2016,12/13/2016,Standard Class,Low,KB-16585,Ken Black,ken.black@hotmail.com,F,8/13/1975,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
CA-2016-137330,CA-2016-137330-2,12/9/2016,12/13/2016,Standard Class,Not Specified,KB-16585,Ken Black,ken.black@hotmail.com,F,8/13/1975,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,US-2017-156909-1,7/16/2017,7/18/2017,Second Class,High,SF-20065,Sandra Flanagan,sandra.flanagan@hotmail.com,M,9/19/1960,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,CA-2015-106320-1,9/25/2015,9/30/2015,Standard Class,High,EB-13870,Emily Burns,emily.burns@hotmail.com,F,10/12/1983,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,CA-2016-121755-1,1/16/2016,1/20/2016,Second Class,Critical,EH-13945,Eric Hoffmann,eric.hoffmann@hotmail.com,M,4/17/1999,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2016-121755,CA-2016-121755-2,1/16/2016,1/20/2016,Second Class,Medium,EH-13945,Eric Hoffmann,eric.hoffmann@hotmail.com,M,4/17/1999,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,US-2015-150630-1,9/17/2015,9/21/2015,Standard Class,Not Specified,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,US-2015-150630-2,9/17/2015,9/21/2015,Standard Class,High,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,US-2015-150630-3,9/17/2015,9/21/2015,Standard Class,Not Specified,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,US-2015-150630-4,9/17/2015,9/21/2015,Standard Class,Not Specified,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,US-2015-150630-5,9/17/2015,9/21/2015,Standard Class,Not Specified,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,US-2015-150630-6,9/17/2015,9/21/2015,Standard Class,High,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,US-2015-150630-7,9/17/2015,9/21/2015,Standard Class,Critical,TB-21520,Tracy Blumstein,tracy.blumstein@hotmail.com,M,2/20/1981,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,CA-2017-107727-1,10/19/2017,10/23/2017,Second Class,Low,MA-17560,Matt Abelman,matt.abelman@hotmail.hom,M,3/2/1961,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
